0 0
0.1 0.1
0.2 0.2
0.3 0.294
0.4 0.37636
0.5 0.442488
0.6 0.489389
0.7 0.515981
0.8 0.523104
0.9 0.513252
1 0.490072
1.1 0.457752
1.2 0.420427
1.3 0.381686
1.4 0.344279
1.5 0.31001
1.6 0.279806
1.7 0.253893
1.8 0.232024
1.9 0.213692
2 0.198298
2.1 0.185268
2.2 0.174107
2.3 0.16442
2.4 0.155903
2.5 0.14833
2.6 0.141532
2.7 0.135383
2.8 0.129784
2.9 0.124659
3 0.119945
3.1 0.115593
3.2 0.111559
3.3 0.107809
3.4 0.104312
3.5 0.101043
3.6 0.0979791
3.7 0.095101
3.8 0.0923919
3.9 0.0898369
4 0.0874228
4.1 0.0851381
4.2 0.0829724
4.3 0.0809164
4.4 0.0789617
4.5 0.0771011
4.6 0.0753277
4.7 0.0736353
4.8 0.0720186
4.9 0.0704724
5 0.0689922
5.1 0.0675737
5.2 0.0662132
5.3 0.064907
5.4 0.0636521
5.5 0.0624453
5.6 0.0612839
5.7 0.0601654
5.8 0.0590875
5.9 0.0580479
6 0.0570446
6.1 0.0560757
6.2 0.0551395
6.3 0.0542343
6.4 0.0533585
6.5 0.0525109
6.6 0.05169
6.7 0.0508945
6.8 0.0501234
6.9 0.0493754
7 0.0486496
7.1 0.0479449
7.2 0.0472606
7.3 0.0465956
7.4 0.0459491
7.5 0.0453205
7.6 0.044709
7.7 0.0441138
7.8 0.0435343
7.9 0.04297
8 0.0424202
8.1 0.0418843
8.2 0.0413619
8.3 0.0408524
8.4 0.0403554
8.5 0.0398704
8.6 0.039397
8.7 0.0389347
8.8 0.0384832
8.9 0.0380421
9 0.037611
9.1 0.0371896
9.2 0.0367776
9.3 0.0363747
9.4 0.0359805
9.5 0.0355948
9.6 0.0352174
9.7 0.0348479
9.8 0.034486
9.9 0.0341317
10 0.0337845
